first_name,second_name,tari_id
Juventus,Torino,5
Inter,Milano,5
AC,Milan,5
FC,Chelsea,2
FC,Liverpool,2
Manchester,United,2
Bayern,Munich,4
Borussia,Dortmund,4
Olympique,Marseille,3
Ajax,Amsterdam,7
FC,Porto,6
FC,Barcelona,1
Real,Madrid,1
